/Users/tobiasm1/git/verified-certified-robustness/scripts/cav2025-artifact-venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
Loading HIGGS via tfds (canonical split: train=first 500000, test=last 500000 of 11000000); reading full stream (first run downloads/prepares ~2.6GB)...
HIGGS loaded: train (500000, 28), test (500000, 28); train positive-class fraction=0.5309; standardization saved to /Users/tobiasm1/git/verified-certified-robustness/scripts/higgs_standardization.npz
test data loaded: 500000 instances
higgs_w512_d5_s10 eps=0.02: acc=0.7063 vra=0.6897 rob=0.9673
higgs_w512_d5_s10 eps=0.05: acc=0.7063 vra=0.6648 rob=0.9190
higgs_w512_d5_s10 eps=0.08: acc=0.7063 vra=0.6386 rob=0.8705
higgs_w512_d5_s10 eps=0.09: acc=0.7063 vra=0.6299 rob=0.8546
higgs_w512_d5_s10 eps=0.095: acc=0.7063 vra=0.6254 rob=0.8465
higgs_w512_d5_s10 eps=0.1: acc=0.7063 vra=0.6209 rob=0.8384
higgs_w512_d5_s10 eps=0.105: acc=0.7063 vra=0.6162 rob=0.8302
higgs_w512_d5_s10 eps=0.11: acc=0.7063 vra=0.6117 rob=0.8222
higgs_w512_d5_s10 eps=0.115: acc=0.7063 vra=0.6071 rob=0.8143
higgs_w512_d5_s10 eps=0.12: acc=0.7063 vra=0.6025 rob=0.8062
higgs_w512_d5_s10 eps=0.13: acc=0.7063 vra=0.5932 rob=0.7901
higgs_w512_d5_s10 eps=0.15: acc=0.7063 vra=0.5741 rob=0.7579
higgs_w512_d5_s10 eps=0.175: acc=0.7063 vra=0.5500 rob=0.7179
higgs_w512_d5_s10 eps=0.2: acc=0.7063 vra=0.5254 rob=0.6782
higgs_w512_d5_s10 eps=0.25: acc=0.7063 vra=0.4750 rob=0.5990
higgs_w512_d5_s10 eps=0.3: acc=0.7063 vra=0.4228 rob=0.5219
higgs_w512_d5_s100 eps=0.02: acc=0.7065 vra=0.6902 rob=0.9676
higgs_w512_d5_s100 eps=0.05: acc=0.7065 vra=0.6647 rob=0.9188
higgs_w512_d5_s100 eps=0.08: acc=0.7065 vra=0.6386 rob=0.8702
higgs_w512_d5_s100 eps=0.09: acc=0.7065 vra=0.6298 rob=0.8541
higgs_w512_d5_s100 eps=0.095: acc=0.7065 vra=0.6254 rob=0.8461
higgs_w512_d5_s100 eps=0.1: acc=0.7065 vra=0.6209 rob=0.8380
higgs_w512_d5_s100 eps=0.105: acc=0.7065 vra=0.6163 rob=0.8299
higgs_w512_d5_s100 eps=0.11: acc=0.7065 vra=0.6118 rob=0.8218
higgs_w512_d5_s100 eps=0.115: acc=0.7065 vra=0.6071 rob=0.8137
higgs_w512_d5_s100 eps=0.12: acc=0.7065 vra=0.6024 rob=0.8056
higgs_w512_d5_s100 eps=0.13: acc=0.7065 vra=0.5930 rob=0.7897
higgs_w512_d5_s100 eps=0.15: acc=0.7065 vra=0.5738 rob=0.7572
higgs_w512_d5_s100 eps=0.175: acc=0.7065 vra=0.5496 rob=0.7172
higgs_w512_d5_s100 eps=0.2: acc=0.7065 vra=0.5251 rob=0.6775
higgs_w512_d5_s100 eps=0.25: acc=0.7065 vra=0.4747 rob=0.5986
higgs_w512_d5_s100 eps=0.3: acc=0.7065 vra=0.4223 rob=0.5209
higgs_w512_d5_s20 eps=0.02: acc=0.7067 vra=0.6901 rob=0.9675
higgs_w512_d5_s20 eps=0.05: acc=0.7067 vra=0.6650 rob=0.9189
higgs_w512_d5_s20 eps=0.08: acc=0.7067 vra=0.6388 rob=0.8704
higgs_w512_d5_s20 eps=0.09: acc=0.7067 vra=0.6299 rob=0.8542
higgs_w512_d5_s20 eps=0.095: acc=0.7067 vra=0.6255 rob=0.8462
higgs_w512_d5_s20 eps=0.1: acc=0.7067 vra=0.6210 rob=0.8381
higgs_w512_d5_s20 eps=0.105: acc=0.7067 vra=0.6166 rob=0.8302
higgs_w512_d5_s20 eps=0.11: acc=0.7067 vra=0.6121 rob=0.8223
higgs_w512_d5_s20 eps=0.115: acc=0.7067 vra=0.6074 rob=0.8142
higgs_w512_d5_s20 eps=0.12: acc=0.7067 vra=0.6026 rob=0.8060
higgs_w512_d5_s20 eps=0.13: acc=0.7067 vra=0.5931 rob=0.7896
higgs_w512_d5_s20 eps=0.15: acc=0.7067 vra=0.5739 rob=0.7572
higgs_w512_d5_s20 eps=0.175: acc=0.7067 vra=0.5495 rob=0.7169
higgs_w512_d5_s20 eps=0.2: acc=0.7067 vra=0.5251 rob=0.6775
higgs_w512_d5_s20 eps=0.25: acc=0.7067 vra=0.4747 rob=0.5980
higgs_w512_d5_s20 eps=0.3: acc=0.7067 vra=0.4220 rob=0.5202
higgs_w512_d5_s30 eps=0.02: acc=0.7063 vra=0.6900 rob=0.9675
higgs_w512_d5_s30 eps=0.05: acc=0.7063 vra=0.6646 rob=0.9185
higgs_w512_d5_s30 eps=0.08: acc=0.7063 vra=0.6384 rob=0.8700
higgs_w512_d5_s30 eps=0.09: acc=0.7063 vra=0.6294 rob=0.8535
higgs_w512_d5_s30 eps=0.095: acc=0.7063 vra=0.6249 rob=0.8455
higgs_w512_d5_s30 eps=0.1: acc=0.7063 vra=0.6204 rob=0.8374
higgs_w512_d5_s30 eps=0.105: acc=0.7063 vra=0.6159 rob=0.8295
higgs_w512_d5_s30 eps=0.11: acc=0.7063 vra=0.6115 rob=0.8217
higgs_w512_d5_s30 eps=0.115: acc=0.7063 vra=0.6067 rob=0.8135
higgs_w512_d5_s30 eps=0.12: acc=0.7063 vra=0.6021 rob=0.8054
higgs_w512_d5_s30 eps=0.13: acc=0.7063 vra=0.5926 rob=0.7890
higgs_w512_d5_s30 eps=0.15: acc=0.7063 vra=0.5734 rob=0.7565
higgs_w512_d5_s30 eps=0.175: acc=0.7063 vra=0.5493 rob=0.7166
higgs_w512_d5_s30 eps=0.2: acc=0.7063 vra=0.5245 rob=0.6765
higgs_w512_d5_s30 eps=0.25: acc=0.7063 vra=0.4738 rob=0.5970
higgs_w512_d5_s30 eps=0.3: acc=0.7063 vra=0.4214 rob=0.5193
higgs_w512_d5_s40 eps=0.02: acc=0.7066 vra=0.6904 rob=0.9678
higgs_w512_d5_s40 eps=0.05: acc=0.7066 vra=0.6649 rob=0.9189
higgs_w512_d5_s40 eps=0.08: acc=0.7066 vra=0.6389 rob=0.8703
higgs_w512_d5_s40 eps=0.09: acc=0.7066 vra=0.6301 rob=0.8543
higgs_w512_d5_s40 eps=0.095: acc=0.7066 vra=0.6254 rob=0.8460
higgs_w512_d5_s40 eps=0.1: acc=0.7066 vra=0.6209 rob=0.8379
higgs_w512_d5_s40 eps=0.105: acc=0.7066 vra=0.6163 rob=0.8298
higgs_w512_d5_s40 eps=0.11: acc=0.7066 vra=0.6117 rob=0.8218
higgs_w512_d5_s40 eps=0.115: acc=0.7066 vra=0.6070 rob=0.8136
