/Users/tobiasm1/git/verified-certified-robustness/scripts/cav2025-artifact-venv/lib/python3.9/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
test data loaded: 10000 instances
mnist_tobler_s10 eps=0.1: acc=0.9840 vra=0.9771 rob=0.9877
mnist_tobler_s10 eps=0.2: acc=0.9840 vra=0.9682 rob=0.9747
mnist_tobler_s10 eps=0.25: acc=0.9840 vra=0.9603 rob=0.9648
mnist_tobler_s10 eps=0.3: acc=0.9840 vra=0.9523 rob=0.9553
mnist_tobler_s10 eps=0.35: acc=0.9840 vra=0.9453 rob=0.9479
mnist_tobler_s10 eps=0.4: acc=0.9840 vra=0.9347 rob=0.9367
mnist_tobler_s10 eps=0.45: acc=0.9840 vra=0.9228 rob=0.9244
mnist_tobler_s10 eps=0.475: acc=0.9840 vra=0.9157 rob=0.9171
mnist_tobler_s10 eps=0.5: acc=0.9840 vra=0.9086 rob=0.9099
mnist_tobler_s10 eps=0.525: acc=0.9840 vra=0.9009 rob=0.9018
mnist_tobler_s10 eps=0.55: acc=0.9840 vra=0.8936 rob=0.8944
mnist_tobler_s10 eps=0.6: acc=0.9840 vra=0.8730 rob=0.8735
mnist_tobler_s10 eps=0.65: acc=0.9840 vra=0.8548 rob=0.8553
mnist_tobler_s10 eps=0.7: acc=0.9840 vra=0.8299 rob=0.8304
mnist_tobler_s10 eps=0.8: acc=0.9840 vra=0.7720 rob=0.7721
mnist_tobler_s10 eps=1.0: acc=0.9840 vra=0.6068 rob=0.6068
mnist_tobler_s100 eps=0.1: acc=0.9842 vra=0.9770 rob=0.9871
mnist_tobler_s100 eps=0.2: acc=0.9842 vra=0.9663 rob=0.9722
mnist_tobler_s100 eps=0.25: acc=0.9842 vra=0.9605 rob=0.9653
mnist_tobler_s100 eps=0.3: acc=0.9842 vra=0.9538 rob=0.9572
mnist_tobler_s100 eps=0.35: acc=0.9842 vra=0.9460 rob=0.9487
mnist_tobler_s100 eps=0.4: acc=0.9842 vra=0.9361 rob=0.9384
mnist_tobler_s100 eps=0.45: acc=0.9842 vra=0.9224 rob=0.9242
mnist_tobler_s100 eps=0.475: acc=0.9842 vra=0.9160 rob=0.9173
mnist_tobler_s100 eps=0.5: acc=0.9842 vra=0.9082 rob=0.9093
mnist_tobler_s100 eps=0.525: acc=0.9842 vra=0.9006 rob=0.9014
mnist_tobler_s100 eps=0.55: acc=0.9842 vra=0.8922 rob=0.8929
mnist_tobler_s100 eps=0.6: acc=0.9842 vra=0.8728 rob=0.8734
mnist_tobler_s100 eps=0.65: acc=0.9842 vra=0.8537 rob=0.8540
mnist_tobler_s100 eps=0.7: acc=0.9842 vra=0.8307 rob=0.8309
mnist_tobler_s100 eps=0.8: acc=0.9842 vra=0.7722 rob=0.7724
mnist_tobler_s100 eps=1.0: acc=0.9842 vra=0.6082 rob=0.6082
mnist_tobler_s20 eps=0.1: acc=0.9846 vra=0.9776 rob=0.9869
mnist_tobler_s20 eps=0.2: acc=0.9846 vra=0.9660 rob=0.9711
mnist_tobler_s20 eps=0.25: acc=0.9846 vra=0.9593 rob=0.9634
mnist_tobler_s20 eps=0.3: acc=0.9846 vra=0.9521 rob=0.9550
mnist_tobler_s20 eps=0.35: acc=0.9846 vra=0.9438 rob=0.9460
mnist_tobler_s20 eps=0.4: acc=0.9846 vra=0.9340 rob=0.9358
mnist_tobler_s20 eps=0.45: acc=0.9846 vra=0.9217 rob=0.9232
mnist_tobler_s20 eps=0.475: acc=0.9846 vra=0.9143 rob=0.9155
mnist_tobler_s20 eps=0.5: acc=0.9846 vra=0.9073 rob=0.9083
mnist_tobler_s20 eps=0.525: acc=0.9846 vra=0.9011 rob=0.9021
mnist_tobler_s20 eps=0.55: acc=0.9846 vra=0.8939 rob=0.8946
mnist_tobler_s20 eps=0.6: acc=0.9846 vra=0.8734 rob=0.8739
mnist_tobler_s20 eps=0.65: acc=0.9846 vra=0.8533 rob=0.8535
mnist_tobler_s20 eps=0.7: acc=0.9846 vra=0.8295 rob=0.8296
mnist_tobler_s20 eps=0.8: acc=0.9846 vra=0.7690 rob=0.7690
mnist_tobler_s20 eps=1.0: acc=0.9846 vra=0.6036 rob=0.6036
mnist_tobler_s30 eps=0.1: acc=0.9843 vra=0.9769 rob=0.9871
mnist_tobler_s30 eps=0.2: acc=0.9843 vra=0.9660 rob=0.9727
mnist_tobler_s30 eps=0.25: acc=0.9843 vra=0.9585 rob=0.9635
mnist_tobler_s30 eps=0.3: acc=0.9843 vra=0.9509 rob=0.9544
mnist_tobler_s30 eps=0.35: acc=0.9843 vra=0.9441 rob=0.9466
mnist_tobler_s30 eps=0.4: acc=0.9843 vra=0.9344 rob=0.9364
mnist_tobler_s30 eps=0.45: acc=0.9843 vra=0.9220 rob=0.9234
mnist_tobler_s30 eps=0.475: acc=0.9843 vra=0.9157 rob=0.9171
mnist_tobler_s30 eps=0.5: acc=0.9843 vra=0.9086 rob=0.9097
mnist_tobler_s30 eps=0.525: acc=0.9843 vra=0.9009 rob=0.9017
mnist_tobler_s30 eps=0.55: acc=0.9843 vra=0.8906 rob=0.8913
mnist_tobler_s30 eps=0.6: acc=0.9843 vra=0.8719 rob=0.8724
mnist_tobler_s30 eps=0.65: acc=0.9843 vra=0.8531 rob=0.8534
mnist_tobler_s30 eps=0.7: acc=0.9843 vra=0.8288 rob=0.8291
mnist_tobler_s30 eps=0.8: acc=0.9843 vra=0.7740 rob=0.7740
mnist_tobler_s30 eps=1.0: acc=0.9843 vra=0.6070 rob=0.6070
mnist_tobler_s40 eps=0.1: acc=0.9841 vra=0.9757 rob=0.9857
mnist_tobler_s40 eps=0.2: acc=0.9841 vra=0.9657 rob=0.9721
mnist_tobler_s40 eps=0.25: acc=0.9841 vra=0.9581 rob=0.9629
mnist_tobler_s40 eps=0.3: acc=0.9841 vra=0.9520 rob=0.9556
mnist_tobler_s40 eps=0.35: acc=0.9841 vra=0.9440 rob=0.9469
mnist_tobler_s40 eps=0.4: acc=0.9841 vra=0.9346 rob=0.9367
mnist_tobler_s40 eps=0.45: acc=0.9841 vra=0.9235 rob=0.9249
mnist_tobler_s40 eps=0.475: acc=0.9841 vra=0.9168 rob=0.9181
mnist_tobler_s40 eps=0.5: acc=0.9841 vra=0.9101 rob=0.9112
mnist_tobler_s40 eps=0.525: acc=0.9841 vra=0.9019 rob=0.9028
mnist_tobler_s40 eps=0.55: acc=0.9841 vra=0.8952 rob=0.8960
mnist_tobler_s40 eps=0.6: acc=0.9841 vra=0.8746 rob=0.8753
mnist_tobler_s40 eps=0.65: acc=0.9841 vra=0.8523 rob=0.8525
mnist_tobler_s40 eps=0.7: acc=0.9841 vra=0.8315 rob=0.8317
mnist_tobler_s40 eps=0.8: acc=0.9841 vra=0.7723 rob=0.7723
mnist_tobler_s40 eps=1.0: acc=0.9841 vra=0.6097 rob=0.6097
mnist_tobler_s50 eps=0.1: acc=0.9845 vra=0.9769 rob=0.9861
mnist_tobler_s50 eps=0.2: acc=0.9845 vra=0.9664 rob=0.9718
mnist_tobler_s50 eps=0.25: acc=0.9845 vra=0.9602 rob=0.9642
mnist_tobler_s50 eps=0.3: acc=0.9845 vra=0.9531 rob=0.9563
mnist_tobler_s50 eps=0.35: acc=0.9845 vra=0.9450 rob=0.9476
