tag	seed	dataset	layers	train_eps	eval_eps	epochs	batch	n_train	clean_acc	vra	robustness	exit	seconds
higgs_w512_d5	10	higgs	[512,512,512,512,512]	0.1	0.1	40	512	500000	0.7063120007514954	0.6208720207214355	0.8382740020751953	0	1121
mnist_tobler	10	mnist	[128,128,128,128,128,128,128,128]	0.45	0.3	500	32	NA	0.984000027179718	0.9526000022888184	0.9556000009179115	0	3881
higgs_w512_d5	20	higgs	[512,512,512,512,512]	0.1	0.1	40	512	500000	0.7067080140113831	0.6208840012550354	0.8379160016775131	0	1141
higgs_w512_d5	30	higgs	[512,512,512,512,512]	0.1	0.1	40	512	500000	0.706275999546051	0.6203340291976929	0.8373160064220428	0	1120
higgs_w512_d5	40	higgs	[512,512,512,512,512]	0.1	0.1	40	512	500000	0.7066140174865723	0.6206899881362915	0.8376100063323975	0	4581
higgs_w512_d5	50	higgs	[512,512,512,512,512]	0.1	0.1	40	512	500000	0.7059419751167297	0.620826005935669	0.838456004858017	0	1089
higgs_w512_d5	60	higgs	[512,512,512,512,512]	0.1	0.1	40	512	500000	0.7065160274505615	0.6208620071411133	0.8381039947271347	0	1042
higgs_w512_d5	70	higgs	[512,512,512,512,512]	0.1	0.1	40	512	500000	0.7070860266685486	0.6200940012931824	0.8358380049467087	0	1042
higgs_w512_d5	80	higgs	[512,512,512,512,512]	0.1	0.1	40	512	500000	0.7059460282325745	0.6209499835968018	0.8390959948301315	0	1013
higgs_w512_d5	90	higgs	[512,512,512,512,512]	0.1	0.1	40	512	500000	0.7062820196151733	0.6204779744148254	0.8375539928674698	0	3664
higgs_w512_d5	100	higgs	[512,512,512,512,512]	0.1	0.1	40	512	500000	0.706496000289917	0.620826005935669	0.8379040062427521	0	1062
mnist_tobler	20	mnist	[128,128,128,128,128,128,128,128]	0.45	0.3	500	32	NA	0.9846000075340271	0.9521999955177307	0.9552000015974045	0	7272
mnist_tobler	30	mnist	[128,128,128,128,128,128,128,128]	0.45	0.3	500	32	NA	0.9843000173568726	0.9509999752044678	0.954500000923872	0	3368
mnist_tobler	40	mnist	[128,128,128,128,128,128,128,128]	0.45	0.3	500	32	NA	0.9840999841690063	0.9520000219345093	0.9556000009179115	0	2848
mnist_tobler	50	mnist	[128,128,128,128,128,128,128,128]	0.45	0.3	500	32	NA	0.984499990940094	0.9532999992370605	0.9565000012516975	0	2860
mnist_tobler	60	mnist	[128,128,128,128,128,128,128,128]	0.45	0.3	500	32	NA	0.9843000173568726	0.953000009059906	0.9569000005722046	0	2914
mnist_tobler	70	mnist	[128,128,128,128,128,128,128,128]	0.45	0.3	500	32	NA	0.9843000173568726	0.9535999894142151	0.9569999985396862	0	2843
mnist_tobler	80	mnist	[128,128,128,128,128,128,128,128]	0.45	0.3	500	32	NA	0.9836999773979187	0.9519000053405762	0.9556000009179115	0	2851
mnist_tobler	90	mnist	[128,128,128,128,128,128,128,128]	0.45	0.3	500	32	NA	0.983299970626831	0.9520000219345093	0.9560000002384186	0	2845
mnist_tobler	100	mnist	[128,128,128,128,128,128,128,128]	0.45	0.3	500	32	NA	0.9842000007629395	0.9538999795913696	0.9572999998927116	0	2851
